"LAT","LON","DISTRICT","STATION","count"
22.5,87.95,"HOWRAH          ","ULUBERIA        2",51
24.28,87.83,"BIRBHUM         ","NALHATI         1",51
21.7,87.55,"PURBA MEDINIPUR","RAMNAGAR        ",50
21.97,87.27,"PASCHIM MEDINIPUR","DANTAN          ",50
22.88,86.5,"PURULIA ","BANDWAN         ",50
24.41,88.26,"MURSHIDABAD     ","LALGOLA         ",50
22.92,87.07,"BANKURA         ","SIMLAPAL        ",49
23.17,86.93,"BANKURA         ","INDPUR          ",49
23.73,88.23,"MURSHIDABAD     ","KALYANGANJ      ",49
24.25,87.17,"MURSHIDABAD     ","DUMKA           ",49
26.88,88.47,"DARJEELING      ","SEVOK           ",49
22.17,87.37,"PASCHIM MEDINIPUR","NARAYANGARH     ",48
22.43,87.87,"PURBA MEDINIPUR","KOLAGHAT        ",48
22.58,88.32,"HOWRAH          ","HOWRAH          ",48
27.12,88.23,"DARJEELING      ","SINGLA BAZAR    ",48
22.33,87.33,"PASCHIM MEDINIPUR","KHARAGPORE      1",47
23.53,86.93,"BANKURA         ","SALTORA         ",47
23.62,87.17,"PASCHIM BARDHAMAN         ","LUUCHIPUR       ",47
23.96,88.26,"MURSHIDABAD     ","AKRIGANJ        ",47
26.63,88.32,"DARJEELING      ","BAGDOGRA        ",47
23.42,87.17,"BANKURA         ","MALIARA         ",46
23.43,87.3,"BANKURA         ","BARJORA         ",46
22.35,87.22,"PASCHIM MEDINIPUR","KALAIKONDA  AF  ",45
23.43,88.1,"PURBA BARDHAMAN         ","MANTESWAR       ",45
23.3,86.97,"BANKURA         ","CHATNA          ",44
23.4,87.38,"BANKURA         ","PALASDANGA      ",44
23.88,87.53,"BIRBHUM         ","SURI            1",44
26.62,89.8,"ALIPURDUAR      ","KUMARGRAM       2",44
26.87,88.77,"JALPAIGURI      ","NEORA           ",44
27.07,88.67,"KALIMPONG       ","LABHA(LAVA)     ",44
22.8,86.95,"BANKURA         ","RAIPUR          ",43
26.33,89.23,"COOCH BEHAR     ","MATHABHANGA     2",43
26.48,89.52,"ALIPURDUAR      ","ALIPURDUAR      2",43
26.55,88.75,"JALPAIGURI      ","DAMOHANI        ",43
26.67,89.33,"ALIPURDUAR      ","HASIMARA        1",43
27.12,88.58,"DARJEELING      ","ALGARAH         ",43
27.16,88.56,"KALIMPONG       ","MUNSONG         ",43
22.23,87.8,"PURBA MEDINIPUR","MOYNA           ",42
22.75,87.03,"BANKURA         ","SARANGA         ",42
26.58,88.93,"JALPAIGURI      ","NH31 BRIDGE     ",42
23.13,87.25,"BANKURA         ","SALBUNDH/J.PURI ",41
23.43,87.37,"PASCHIM BARDHAMAN         ","RENDIA          ",41
26.92,88.92,"JALPAIGURI      ","NAGARKATA       ",41
26.93,89,"JALPAIGURI      ","CHENGMARI/DIANA ",41
22.18,88.2,"24 PARGANAS S   ","DIAMOND HARBOUR 2",40
22.22,86.88,"JHARGRAM        ","GOPIBALLABHPUR  ",40
22.25,88.67,"24 PARGANAS S   ","CANNING         1",40
21.83,87.78,"PURBA MEDINIPUR","DIGHA           ",39
22.7,87.18,"PURBA MEDINIPUR","GOALFORE        ",39
26.66,89.84,"ALIPURDUAR      ","JAIGAON         ",39
26.88,88.55,"KALIMPONG       ","BAGROKOTE       ",39
27.07,88.87,"KALIMPONG       ","RANGO           ",39
22.37,87.55,"PASCHIM MEDINIPUR","BALICHAK        ",38
23.47,87.43,"PASCHIM BARDHAMAN         ","PANGARH AERO    ",38
23.57,87.12,"BANKURA         ","MAJHIA          ",38
26.66,89.84,"ALIPURDUAR      ","SANKOS          ",38
26.75,89.58,"ALIPURDUAR      ","BUXADUR         ",38
26.99,88.81,"JALPAIGURI      ","SAMSING         ",38
27.05,88.25,"DARJEELING      ","BIJANBARI       ",38
22.17,87,"PASCHIM MEDINIPUR","SALBANI         ",37
22.33,87.32,"PASCHIM MEDINIPUR","KHARAGPORE I.I.T",37
22.57,87.6,"PURBA MEDINIPUR","NARAJOLE        ",37
27.15,88.62,"KALIMPONG       ","PEDONG          2",37
22.18,88.8,"24 PARGANAS S   ","GOSABA          ",36
26.85,88.83,"JALPAIGURI      ","MURTI           ",36
24.03,87.98,"MURSHIDABAD     ","KHARGRAM        ",35
27.22,88.02,"DARJEELING      ","PHALUT          ",35
21.84,87.9,"PURBA MEDINIPUR","JENKA           ",34
21.98,87.8,"PURBA MEDINIPUR","HENRIA          ",34
22.07,88.07,"PURBA MEDINIPUR","HALDIA          ",34
22.72,87.83,"HOOGLY          ","KHANAKUL        ",34
22.8,88.3,"HOOGLY          ","CHANDITALA      ",34
22.9,88.02,"HOOGLY          ","TARAKESHWAR     ",33
23.53,86.52,"PURULIA ","PARA            ",33
26.75,88.42,"DARJEELING      ","CHAMPASARI      ",33
23.9,87.5,"BIRBHUM         ","RAJNAGAR        ",32
26.32,88.92,"COOCH BEHAR     ","MEKHLIGANJ      1",32
22.13,87.58,"PASCHIM MEDINIPUR","SABONG          ",31
22.2,88.47,"24 PARGANAS N   ","BASIRHAT        1",31
